CRIM,INDUS,NOX,RM,AGE,DIS,RAD,PTRATIO,B,MEDV
3.8497,18.1,0.77,6.395,91,2.5052,24,20.2,391.34,21.7
5.20177,18.1,0.77,6.127,83.4,2.7227,24,20.2,395.43,22.7
4.26131,18.1,0.77,6.112,81.3,2.5091,24,20.2,390.74,22.6
4.54192,18.1,0.77,6.398,88,2.5182,24,20.2,374.56,25
3.83684,18.1,0.77,6.251,91.1,2.2955,24,20.2,350.65,19.9
3.67822,18.1,0.77,5.362,96.2,2.1036,24,20.2,380.79,20.8
4.22239,18.1,0.77,5.803,89,1.9047,24,20.2,353.04,16.8
3.47428,18.1,0.718,8.78,82.9,1.9047,24,20.2,354.55,21.9
4.55587,18.1,0.718,3.561,87.9,1.6132,24,20.2,354.7,27.5
3.69695,18.1,0.718,4.963,91.4,1.7523,24,20.2,316.03,21.9
13.5222,18.1,0.631,3.863,100,1.5106,24,20.2,131.42,23.1
4.89822,18.1,0.631,4.97,100,1.3325,24,20.2,375.52,50
5.66998,18.1,0.631,6.683,96.8,1.3567,24,20.2,375.33,50
6.53876,18.1,0.631,7.016,97.5,1.2024,24,20.2,392.05,50
9.2323,18.1,0.631,6.216,100,1.1691,24,20.2,366.15,50
8.26725,18.1,0.668,5.875,89.6,1.1296,24,20.2,347.88,50
11.1081,18.1,0.668,4.906,100,1.1742,24,20.2,396.9,13.8
18.4982,18.1,0.668,4.138,100,1.137,24,20.2,396.9,13.8
19.6091,18.1,0.671,7.313,97.9,1.3163,24,20.2,396.9,15
15.288,18.1,0.671,6.649,93.3,1.3449,24,20.2,363.02,13.9
9.82349,18.1,0.671,6.794,98.8,1.358,24,20.2,396.9,13.3
23.6482,18.1,0.671,6.38,96.2,1.3861,24,20.2,396.9,13.1
17.8667,18.1,0.671,6.223,100,1.3861,24,20.2,393.74,10.2
88.9762,18.1,0.671,6.968,91.9,1.4165,24,20.2,396.9,10.4
15.8744,18.1,0.671,6.545,99.1,1.5192,24,20.2,396.9,10.9
9.18702,18.1,0.7,5.536,100,1.5804,24,20.2,396.9,11.3
7.99248,18.1,0.7,5.52,100,1.5331,24,20.2,396.9,12.3
20.0849,18.1,0.7,4.368,91.2,1.4395,24,20.2,285.83,8.8
16.8118,18.1,0.7,5.277,98.1,1.4261,24,20.2,396.9,7.2
24.3938,18.1,0.7,4.652,100,1.4672,24,20.2,396.9,10.5
22.5971,18.1,0.7,5,89.5,1.5184,24,20.2,396.9,7.4
14.3337,18.1,0.7,4.88,100,1.5895,24,20.2,372.92,10.2
8.15174,18.1,0.7,5.39,98.9,1.7281,24,20.2,396.9,11.5
6.96215,18.1,0.7,5.713,97,1.9265,24,20.2,394.43,15.1
5.29305,18.1,0.7,6.051,82.5,2.1678,24,20.2,378.38,23.2
11.5779,18.1,0.7,5.036,97,1.77,24,20.2,396.9,9.7
8.64476,18.1,0.693,6.193,92.6,1.7912,24,20.2,396.9,13.8
13.3598,18.1,0.693,5.887,94.7,1.7821,24,20.2,396.9,12.7
8.71675,18.1,0.693,6.471,98.8,1.7257,24,20.2,391.98,13.1
5.87205,18.1,0.693,6.405,96,1.6768,24,20.2,396.9,12.5
7.67202,18.1,0.693,5.747,98.9,1.6334,24,20.2,393.1,8.5
38.3518,18.1,0.693,5.453,100,1.4896,24,20.2,396.9,5
9.91655,18.1,0.693,5.852,77.8,1.5004,24,20.2,338.16,6.3
25.0461,18.1,0.693,5.987,100,1.5888,24,20.2,396.9,5.6
14.2362,18.1,0.693,6.343,100,1.5741,24,20.2,396.9,7.2
9.59571,18.1,0.693,6.404,100,1.639,24,20.2,376.11,12.1
24.8017,18.1,0.693,5.349,96,1.7028,24,20.2,396.9,8.3
41.5292,18.1,0.693,5.531,85.4,1.6074,24,20.2,329.46,8.5
67.9208,18.1,0.693,5.683,100,1.4254,24,20.2,384.97,5
20.7162,18.1,0.659,4.138,100,1.1781,24,20.2,370.22,11.9
11.9511,18.1,0.659,5.608,100,1.2852,24,20.2,332.09,27.9
7.40389,18.1,0.597,5.617,97.9,1.4547,24,20.2,314.64,17.2
14.4383,18.1,0.597,6.852,100,1.4655,24,20.2,179.36,27.5
51.1358,18.1,0.597,5.757,100,1.413,24,20.2,2.6,15
14.0507,18.1,0.597,6.657,100,1.5275,24,20.2,35.05,17.2
18.811,18.1,0.597,4.628,100,1.5539,24,20.2,28.79,17.9
28.6558,18.1,0.597,5.155,100,1.5894,24,20.2,210.97,16.3
45.7461,18.1,0.693,4.519,100,1.6582,24,20.2,88.27,7
18.0846,18.1,0.679,6.434,100,1.8347,24,20.2,27.25,7.2
10.8342,18.1,0.679,6.782,90.8,1.8195,24,20.2,21.57,7.5
25.9406,18.1,0.679,5.304,89.1,1.6475,24,20.2,127.36,10.4
73.5341,18.1,0.679,5.957,100,1.8026,24,20.2,16.45,8.8
11.8123,18.1,0.718,6.824,76.5,1.794,24,20.2,48.45,8.4
11.0874,18.1,0.718,6.411,100,1.8589,24,20.2,318.75,16.7
7.02259,18.1,0.718,6.006,95.3,1.8746,24,20.2,319.98,14.2
12.0482,18.1,0.614,5.648,87.6,1.9512,24,20.2,291.55,20.8
7.05042,18.1,0.614,6.103,85.1,2.0218,24,20.2,2.52,13.4
8.79212,18.1,0.584,5.565,70.6,2.0635,24,20.2,3.65,11.7
15.8603,18.1,0.679,5.896,95.4,1.9096,24,20.2,7.68,8.3
12.2472,18.1,0.584,5.837,59.7,1.9976,24,20.2,24.65,10.2
37.6619,18.1,0.679,6.202,78.7,1.8629,24,20.2,18.82,10.9
37.6619,18.1,0.679,6.202,78.7,1.8629,24,20.2,18.82,10.9
9.33889,18.1,0.679,6.38,95.6,1.9682,24,20.2,60.72,9.5
8.49213,18.1,0.584,6.348,86.1,2.0527,24,20.2,83.45,14.5
10.0623,18.1,0.584,6.833,94.3,2.0882,24,20.2,81.33,14.1
6.44405,18.1,0.584,6.425,74.8,2.2004,24,20.2,97.95,16.1
5.58107,18.1,0.713,6.436,87.9,2.3158,24,20.2,100.19,14.3
13.9134,18.1,0.713,6.208,95,2.2222,24,20.2,100.63,11.7
11.1604,18.1,0.74,6.629,94.6,2.1247,24,20.2,109.85,13.4
14.4208,18.1,0.74,6.461,93.3,2.0026,24,20.2,27.49,9.6
15.1772,18.1,0.74,6.152,100,1.9142,24,20.2,9.32,8.7
13.6781,18.1,0.74,5.935,87.9,1.8206,24,20.2,68.95,8.4
9.39063,18.1,0.74,5.627,93.9,1.8172,24,20.2,396.9,12.8
22.0511,18.1,0.74,5.818,92.4,1.8662,24,20.2,391.45,10.5
9.72418,18.1,0.74,6.406,97.2,2.0651,24,20.2,385.96,17.1
5.66637,18.1,0.74,6.219,100,2.0048,24,20.2,395.69,18.4
9.96654,18.1,0.74,6.485,100,1.9784,24,20.2,386.73,15.4
12.8023,18.1,0.74,5.854,96.6,1.8956,24,20.2,240.52,10.8
10.6718,18.1,0.74,6.459,94.8,1.9879,24,20.2,43.06,11.8
6.28807,18.1,0.74,6.341,96.4,2.072,24,20.2,318.01,14.9
9.92485,18.1,0.74,6.251,96.6,2.198,24,20.2,388.52,12.6
9.32909,18.1,0.713,6.185,98.7,2.2616,24,20.2,396.9,14.1
7.52601,18.1,0.713,6.417,98.3,2.185,24,20.2,304.21,13
6.71772,18.1,0.713,6.749,92.6,2.3236,24,20.2,0.32,13.4
5.44114,18.1,0.713,6.655,98.2,2.3552,24,20.2,355.29,15.2
5.09017,18.1,0.713,6.297,91.8,2.3682,24,20.2,385.09,16.1
8.24809,18.1,0.713,7.393,99.3,2.4527,24,20.2,375.87,17.8
9.51363,18.1,0.713,6.728,94.1,2.4961,24,20.2,6.68,14.9
4.75237,18.1,0.713,6.525,86.5,2.4358,24,20.2,50.92,14.1
4.66883,18.1,0.713,5.976,87.9,2.5806,24,20.2,10.48,12.7
8.20058,18.1,0.713,5.936,80.3,2.7792,24,20.2,3.5,13.5
7.75223,18.1,0.713,6.301,83.7,2.7831,24,20.2,272.21,14.9
6.80117,18.1,0.713,6.081,84.4,2.7175,24,20.2,396.9,20
4.81213,18.1,0.713,6.701,90,2.5975,24,20.2,255.23,16.4
3.69311,18.1,0.713,6.376,88.4,2.5671,24,20.2,391.43,17.7
6.65492,18.1,0.713,6.317,83,2.7344,24,20.2,396.9,19.5
5.82115,18.1,0.713,6.513,89.9,2.8016,24,20.2,393.82,20.2
7.83932,18.1,0.655,6.209,65.4,2.9634,24,20.2,396.9,21.4
3.1636,18.1,0.655,5.759,48.2,3.0665,24,20.2,334.4,19.9
3.77498,18.1,0.655,5.952,84.7,2.8715,24,20.2,22.01,19
4.42228,18.1,0.584,6.003,94.5,2.5403,24,20.2,331.29,19.1
15.5757,18.1,0.58,5.926,71,2.9084,24,20.2,368.74,19.1
13.0751,18.1,0.58,5.713,56.7,2.8237,24,20.2,396.9,20.1
13.0751,18.1,0.58,5.713,56.7,2.8237,24,20.2,396.9,20.1
4.34879,18.1,0.58,6.167,84,3.0334,24,20.2,396.9,19.9
4.03841,18.1,0.532,6.229,90.7,3.0993,24,20.2,395.33,19.6
3.56868,18.1,0.58,6.437,75,2.8965,24,20.2,393.37,23.2
4.64689,18.1,0.614,6.98,67.6,2.5329,24,20.2,374.68,29.8
8.05579,18.1,0.584,5.427,95.4,2.4298,24,20.2,352.58,13.8
6.39312,18.1,0.584,6.162,97.4,2.206,24,20.2,302.76,13.3
4.87141,18.1,0.614,6.484,93.6,2.3053,24,20.2,396.21,16.7
15.0234,18.1,0.614,5.304,97.3,2.1007,24,20.2,349.48,12
15.0234,18.1,0.614,5.304,97.3,2.1007,24,20.2,349.48,12
10.233,18.1,0.614,6.185,96.7,2.1705,24,20.2,379.7,14.6
14.3337,18.1,0.614,6.229,88,1.9512,24,20.2,383.32,21.4
5.82401,18.1,0.532,6.242,64.7,3.4242,24,20.2,396.9,23
5.70818,18.1,0.532,6.75,74.9,3.3317,24,20.2,393.07,23.7
5.73116,18.1,0.532,7.061,77,3.4106,24,20.2,395.28,25
2.81838,18.1,0.532,5.762,40.3,4.0983,24,20.2,392.92,21.8
2.37857,18.1,0.583,5.871,41.9,3.724,24,20.2,370.73,20.6
3.67367,18.1,0.583,6.312,51.9,3.9917,24,20.2,388.62,21.2
5.69175,18.1,0.583,6.114,79.8,3.5459,24,20.2,392.68,19.1
4.83567,18.1,0.583,5.905,53.2,3.1523,24,20.2,388.22,20.6
0.15086,27.74,0.609,5.454,92.7,1.8209,4,20.1,395.09,15.2
0.18337,27.74,0.609,5.414,98.3,1.7554,4,20.1,344.05,7
0.20746,27.74,0.609,5.093,98,1.8226,4,20.1,318.43,8.1
0.10574,27.74,0.609,5.983,98.8,1.8681,4,20.1,390.11,13.6
0.11132,27.74,0.609,5.983,83.5,2.1099,4,20.1,396.9,20.1
0.17331,9.69,0.585,5.707,54,2.3817,6,19.2,396.9,21.8
0.27957,9.69,0.585,5.926,42.6,2.3817,6,19.2,396.9,24.5
0.17899,9.69,0.585,5.67,28.8,2.7986,6,19.2,393.29,23.1
0.2896,9.69,0.585,5.39,72.9,2.7986,6,19.2,396.9,19.7
0.2896,9.69,0.585,5.39,72.9,2.7986,6,19.2,396.9,19.7
0.26838,9.69,0.585,5.794,70.6,2.8927,6,19.2,396.9,18.3
0.23912,9.69,0.585,6.019,65.3,2.4091,6,19.2,396.9,21.2
0.17783,9.69,0.585,5.569,73.5,2.3999,6,19.2,395.77,17.5
0.22438,9.69,0.585,6.027,79.7,2.4982,6,19.2,396.9,16.8
0.06263,11.93,0.573,6.593,69.1,2.4786,1,21,391.99,22.4
0.04527,11.93,0.573,6.12,76.7,2.2875,1,21,396.9,20.6
0.06076,11.93,0.573,6.976,91,2.1675,1,21,396.9,23.9
0.10959,11.93,0.573,6.794,89.3,2.3889,1,21,393.45,22
0.04741,11.93,0.573,6.03,80.8,2.505,1,21,396.9,11.9
